CustomerID,num_purchases,total_spending,customer_segment,avg_price_per_item
12459,1,14.95,"Low Spender",14.95
12467,1,16.50,"Low Spender",16.50
12468,3,234.95,"Medium Spender",78.32
12469,2,326.16,"Medium Spender",163.08
12470,1,17.85,"Low Spender",17.85
12471,28,1575.52,"High Spender",56.27
12472,12,893.32,"High Spender",74.44
12474,7,357.60,"Medium Spender",51.09
12475,1,19.50,"Low Spender",19.50
12476,7,611.17,"High Spender",87.31
12477,3,806.41,"High Spender",268.80
12480,3,73.80,"Low Spender",24.60
12481,4,823.92,"High Spender",205.98
12482,11,1582.80,"High Spender",143.89
12483,4,164.90,"Medium Spender",41.23
12484,3,107.00,"Medium Spender",35.67
12485,1,65.50,"Low Spender",65.50
12486,1,74.80,"Low Spender",74.80
12490,8,282.26,"Medium Spender",35.28
12492,1,80.25,"Low Spender",80.25
12494,2,35.40,"Low Spender",17.70
12495,1,42.60,"Low Spender",42.60
12497,1,959.48,"High Spender",959.48
12499,1,36.38,"Low Spender",36.38
12500,6,139.48,"Medium Spender",23.25
12505,1,45.30,"Low Spender",45.30
12507,1,101.40,"Medium Spender",101.40
12510,4,160.76,"Medium Spender",40.19
12511,1,359.09,"Medium Spender",359.09
12514,1,23.50,"Low Spender",23.50
12516,2,200.10,"Medium Spender",100.05
12519,1,20.28,"Low Spender",20.28
12523,6,100.37,"Medium Spender",16.73
12524,5,659.40,"High Spender",131.88
12525,1,47.70,"Low Spender",47.70
12529,1,30.60,"Low Spender",30.60
12530,4,127.80,"Medium Spender",31.95
12531,1,144.90,"Medium Spender",144.90
12533,2,84.10,"Low Spender",42.05
12537,1,17.70,"Low Spender",17.70
12539,3,387.36,"Medium Spender",129.12
12540,13,726.95,"High Spender",55.92
12542,1,11.05,"Low Spender",11.05
12543,1,39.00,"Low Spender",39.00
12547,1,13.20,"Low Spender",13.20
12549,2,43.80,"Low Spender",21.90
12553,2,89.30,"Low Spender",44.65
12554,1,48.78,"Low Spender",48.78
12557,1,537.66,"High Spender",537.66
12562,2,37.20,"Low Spender",18.60
12563,1,64.80,"Low Spender",64.80
12567,7,296.85,"Medium Spender",42.41
12573,3,32.80,"Low Spender",10.93
12575,2,64.80,"Low Spender",32.40
12576,3,141.00,"Medium Spender",47.00
12577,4,72.20,"Low Spender",18.05
12578,2,52.80,"Low Spender",26.40
12582,2,111.96,"Medium Spender",55.98
12583,8,704.08,"High Spender",88.01
12586,3,183.35,"Medium Spender",61.12
12588,2,23.28,"Low Spender",11.64
12589,4,158.80,"Medium Spender",39.70
12591,1,25.80,"Low Spender",25.80
12592,2,41.16,"Low Spender",20.58
12594,4,107.00,"Medium Spender",26.75
12595,1,20.16,"Low Spender",20.16
12598,2,59.60,"Low Spender",29.80
12599,5,79.20,"Low Spender",15.84
12600,3,154.80,"Medium Spender",51.60
12601,1,30.00,"Low Spender",30.00
12605,1,13.50,"Low Spender",13.50
12608,1,43.00,"Low Spender",43.00
12609,5,163.45,"Medium Spender",32.69
12613,5,237.60,"Medium Spender",47.52
12615,3,259.42,"Medium Spender",86.47
12619,1,13.20,"Low Spender",13.20
12621,10,745.90,"High Spender",74.59
12623,5,248.85,"Medium Spender",49.77
12625,1,72.30,"Low Spender",72.30
12629,1,240.00,"Medium Spender",240.00
12631,3,183.10,"Medium Spender",61.03
12632,2,102.74,"Medium Spender",51.37
12633,3,476.05,"Medium Spender",158.68
12635,2,65.40,"Low Spender",32.70
12637,4,104.10,"Medium Spender",26.03
12638,1,80.00,"Low Spender",80.00
12639,1,10.20,"Low Spender",10.20
12643,2,447.90,"Medium Spender",223.95
12644,3,201.45,"Medium Spender",67.15
12645,3,102.60,"Medium Spender",34.20
12647,17,952.25,"High Spender",56.01
12648,2,55.00,"Low Spender",27.50
12649,4,174.00,"Medium Spender",43.50
12651,1,12.60,"Low Spender",12.60
12653,1,121.80,"Medium Spender",121.80
12655,1,35.70,"Low Spender",35.70
12656,3,157.35,"Medium Spender",52.45
12662,7,198.30,"Medium Spender",28.33
12664,1,80.00,"Low Spender",80.00
12665,1,15.30,"Low Spender",15.30
12666,1,12.50,"Low Spender",12.50
12668,5,464.70,"Medium Spender",92.94
12670,2,84.60,"Low Spender",42.30
12671,1,107.34,"Medium Spender",107.34
12673,1,72.00,"Low Spender",72.00
12675,1,16.95,"Low Spender",16.95
12676,3,70.80,"Low Spender",23.60
12677,1,31.80,"Low Spender",31.80
12678,3,618.30,"High Spender",206.10
12681,17,1126.24,"High Spender",66.25
12682,15,673.27,"High Spender",44.88
12683,7,408.25,"Medium Spender",58.32
12687,1,202.60,"Medium Spender",202.60
12691,1,40.40,"Low Spender",40.40
12692,1,15.90,"Low Spender",15.90
12693,2,55.42,"Low Spender",27.71
12694,1,77.00,"Low Spender",77.00
12695,1,36.00,"Low Spender",36.00
12696,2,94.86,"Low Spender",47.43
12698,1,19.80,"Low Spender",19.80
12699,1,28.20,"Low Spender",28.20
12701,3,74.90,"Low Spender",24.97
12703,3,90.05,"Low Spender",30.02
12705,5,345.23,"Medium Spender",69.05
12708,7,198.00,"Medium Spender",28.29
12709,11,2608.04,"High Spender",237.09
12711,2,101.26,"Medium Spender",50.63
12712,8,248.09,"Medium Spender",31.01
12714,7,521.16,"High Spender",74.45
12720,4,214.06,"Medium Spender",53.52
12721,2,116.30,"Medium Spender",58.15
12724,2,134.40,"Medium Spender",67.20
12725,2,245.60,"Medium Spender",122.80
12726,3,172.20,"Medium Spender",57.40
12727,2,57.90,"Low Spender",28.95
12728,1,10.20,"Low Spender",10.20
12730,1,58.40,"Low Spender",58.40
12731,4,399.16,"Medium Spender",99.79
12733,3,151.95,"Medium Spender",50.65
12738,1,9.95,"Low Spender",9.95
12739,1,51.00,"Low Spender",51.00
12742,1,10.20,"Low Spender",10.20
12744,3,186.35,"Medium Spender",62.12
12745,1,31.05,"Low Spender",31.05
12747,8,275.60,"Medium Spender",34.45
12748,70,1310.27,"High Spender",18.72
12749,3,229.05,"Medium Spender",76.35
12751,1,6.50,"Low Spender",6.50
12755,3,100.65,"Medium Spender",33.55
12758,4,779.19,"High Spender",194.80
12759,5,276.56,"Medium Spender",55.31
12761,1,166.80,"Medium Spender",166.80
12765,1,15.30,"Low Spender",15.30
12766,2,188.34,"Medium Spender",94.17
12767,1,27.60,"Low Spender",27.60
12771,1,27.75,"Low Spender",27.75
12773,1,12.50,"Low Spender",12.50
12775,1,55.10,"Low Spender",55.10
12777,1,30.30,"Low Spender",30.30
12778,2,75.25,"Low Spender",37.63
12779,5,139.98,"Medium Spender",28.00
12782,6,195.55,"Medium Spender",32.59
12784,1,66.75,"Low Spender",66.75
12786,1,72.60,"Low Spender",72.60
12788,1,16.50,"Low Spender",16.50
12790,1,10.20,"Low Spender",10.20
12791,2,126.30,"Medium Spender",63.15
12792,1,49.65,"Low Spender",49.65
12793,1,16.50,"Low Spender",16.50
12796,1,58.50,"Low Spender",58.50
12797,2,58.65,"Low Spender",29.33
12798,1,446.33,"Medium Spender",446.33
12799,1,16.50,"Low Spender",16.50
12800,2,38.40,"Low Spender",19.20
12801,1,22.90,"Low Spender",22.90
12802,4,144.00,"Medium Spender",36.00
12803,1,42.78,"Low Spender",42.78
12804,2,9.50,"Low Spender",4.75
12805,2,71.80,"Low Spender",35.90
12806,1,35.10,"Low Spender",35.10
12807,1,12.60,"Low Spender",12.60
12808,1,37.50,"Low Spender",37.50
12809,2,161.05,"Medium Spender",80.53
12810,1,20.40,"Low Spender",20.40
12811,2,76.50,"Low Spender",38.25
12813,2,162.00,"Medium Spender",81.00
12817,1,46.84,"Low Spender",46.84
12819,1,15.00,"Low Spender",15.00
12820,5,108.48,"Medium Spender",21.70
12823,1,765.00,"High Spender",765.00
12825,2,61.50,"Low Spender",30.75
12826,1,25.05,"Low Spender",25.05
12831,2,36.90,"Low Spender",18.45
12835,25,488.42,"Medium Spender",19.54
12836,7,196.65,"Medium Spender",28.09
12837,1,53.45,"Low Spender",53.45
12838,8,273.14,"Medium Spender",34.14
12839,8,278.78,"Medium Spender",34.85
12840,2,130.10,"Medium Spender",65.05
12841,8,195.94,"Medium Spender",24.49
12843,6,336.79,"Medium Spender",56.13
12844,1,16.95,"Low Spender",16.95
12847,1,158.30,"Medium Spender",158.30
12848,1,20.60,"Low Spender",20.60
12849,3,145.19,"Medium Spender",48.40
12851,1,18.25,"Low Spender",18.25
12853,1,108.90,"Medium Spender",108.90
12854,3,217.15,"Medium Spender",72.38
12855,2,21.40,"Low Spender",10.70
12857,4,1000.25,"High Spender",250.06
12858,1,33.90,"Low Spender",33.90
12859,1,44.75,"Low Spender",44.75
12860,1,14.00,"Low Spender",14.00
12861,1,12.75,"Low Spender",12.75
12862,2,73.41,"Low Spender",36.71
12863,2,129.45,"Medium Spender",64.73
12865,2,142.38,"Medium Spender",71.19
12866,1,35.40,"Low Spender",35.40
12867,6,381.52,"Medium Spender",63.59
12868,2,90.75,"Low Spender",45.38
12869,1,3.90,"Low Spender",3.90
12870,3,111.74,"Medium Spender",37.25
12872,9,191.30,"Medium Spender",21.26
12873,1,98.10,"Low Spender",98.10
12874,2,52.56,"Low Spender",26.28
12876,2,71.40,"Low Spender",35.70
12877,7,208.98,"Medium Spender",29.85
12880,1,17.40,"Low Spender",17.40
12887,1,14.95,"Low Spender",14.95
12890,1,16.70,"Low Spender",16.70
12892,1,15.00,"Low Spender",15.00
12894,1,24.90,"Low Spender",24.90
12897,1,54.65,"Low Spender",54.65
12898,1,11.80,"Low Spender",11.80
12899,1,15.00,"Low Spender",15.00
12903,1,35.10,"Low Spender",35.10
12905,2,21.54,"Low Spender",10.77
12907,2,44.85,"Low Spender",22.43
12909,3,101.05,"Medium Spender",33.68
12910,2,161.46,"Medium Spender",80.73
12911,1,105.59,"Medium Spender",105.59
12913,2,221.70,"Medium Spender",110.85
12914,1,10.20,"Low Spender",10.20
12915,2,58.80,"Low Spender",29.40
12916,1,49.50,"Low Spender",49.50
12917,1,11.80,"Low Spender",11.80
12920,2,27.90,"Low Spender",13.95
12921,28,1469.54,"High Spender",52.48
12923,2,7.35,"Low Spender",3.68
12924,3,81.95,"Low Spender",27.32
12926,4,154.68,"Medium Spender",38.67
12928,3,103.08,"Medium Spender",34.36
12931,7,1687.02,"High Spender",241.00
12932,4,165.62,"Medium Spender",41.41
12933,3,70.15,"Low Spender",23.38
12935,6,206.25,"Medium Spender",34.38
12937,2,80.20,"Low Spender",40.10
12941,1,12.75,"Low Spender",12.75
12943,1,43.20,"Low Spender",43.20
12945,1,14.85,"Low Spender",14.85
12946,1,34.80,"Low Spender",34.80
12947,1,37.74,"Low Spender",37.74
12948,1,12.50,"Low Spender",12.50
12949,11,776.94,"High Spender",70.63
12951,5,115.05,"Medium Spender",23.01
12953,1,39.80,"Low Spender",39.80
12954,1,10.20,"Low Spender",10.20
12956,2,33.42,"Low Spender",16.71
12957,4,281.32,"Medium Spender",70.33
12958,2,41.65,"Low Spender",20.83
12960,3,68.30,"Low Spender",22.77
12961,1,2.95,"Low Spender",2.95
12963,3,121.55,"Medium Spender",40.52
12964,1,13.80,"Low Spender",13.80
12967,1,148.20,"Medium Spender",148.20
12970,5,83.25,"Low Spender",16.65
12971,6,751.70,"High Spender",125.28
12972,2,26.00,"Low Spender",13.00
12974,1,20.20,"Low Spender",20.20
12975,5,204.31,"Medium Spender",40.86
12976,5,219.24,"Medium Spender",43.85
12977,1,9.25,"Low Spender",9.25
12978,4,76.35,"Low Spender",19.09
12979,1,42.81,"Low Spender",42.81
12980,1,559.20,"High Spender",559.20
12982,5,166.15,"Medium Spender",33.23
12983,1,16.50,"Low Spender",16.50
12986,4,81.55,"Low Spender",20.39
12987,2,30.20,"Low Spender",15.10
12991,1,15.90,"Low Spender",15.90
12993,4,75.25,"Low Spender",18.81
12996,1,41.40,"Low Spender",41.40
12997,3,82.70,"Low Spender",27.57
12998,1,45.00,"Low Spender",45.00
13000,1,27.60,"Low Spender",27.60
13001,18,883.21,"High Spender",49.07
13002,1,15.00,"Low Spender",15.00
13004,15,415.41,"Medium Spender",27.69
13005,2,68.05,"Low Spender",34.03
13008,2,43.20,"Low Spender",21.60
13010,1,21.00,"Low Spender",21.00
13012,3,133.10,"Medium Spender",44.37
13013,9,479.17,"Medium Spender",53.24
13014,1,114.40,"Medium Spender",114.40
13015,5,161.93,"Medium Spender",32.39
13018,4,168.07,"Medium Spender",42.02
13019,3,76.76,"Low Spender",25.59
13020,1,17.70,"Low Spender",17.70
13021,5,209.15,"Medium Spender",41.83
13023,1,184.80,"Medium Spender",184.80
13024,2,52.80,"Low Spender",26.40
13026,2,21.96,"Low Spender",10.98
13027,5,777.60,"High Spender",155.52
13029,1,16.50,"Low Spender",16.50
13030,1,65.52,"Low Spender",65.52
13031,5,239.03,"Medium Spender",47.81
13032,4,140.53,"Medium Spender",35.13
13036,1,15.00,"Low Spender",15.00
13037,6,154.50,"Medium Spender",25.75
13039,3,104.20,"Medium Spender",34.73
13041,2,30.28,"Low Spender",15.14
13042,3,85.95,"Low Spender",28.65
13044,10,275.70,"Medium Spender",27.57
13045,2,32.90,"Low Spender",16.45
13046,1,17.85,"Low Spender",17.85
13047,7,565.76,"High Spender",80.82
13048,5,281.29,"Medium Spender",56.26
13049,1,27.78,"Low Spender",27.78
13050,14,670.70,"High Spender",47.91
13052,6,252.11,"Medium Spender",42.02
13053,1,4.95,"Low Spender",4.95
13055,1,47.30,"Low Spender",47.30
13056,1,25.20,"Low Spender",25.20
13059,5,81.30,"Low Spender",16.26
13064,2,60.45,"Low Spender",30.23
13065,4,112.64,"Medium Spender",28.16
13067,1,23.85,"Low Spender",23.85
13069,12,547.95,"High Spender",45.66
13070,2,39.00,"Low Spender",19.50
13071,1,1.25,"Low Spender",1.25
13073,1,47.25,"Low Spender",47.25
13074,1,81.20,"Low Spender",81.20
13076,1,10.20,"Low Spender",10.20
13077,5,79.49,"Low Spender",15.90
13078,19,1071.99,"High Spender",56.42
13079,1,12.50,"Low Spender",12.50
13080,1,17.00,"Low Spender",17.00
13081,15,2179.15,"High Spender",145.28
13082,3,615.78,"High Spender",205.26
13085,2,73.80,"Low Spender",36.90
13086,1,14.65,"Low Spender",14.65
13087,1,44.84,"Low Spender",44.84
13088,1,21.00,"Low Spender",21.00
13089,56,4201.22,"High Spender",75.02
13090,4,300.81,"Medium Spender",75.20
13091,1,102.00,"Medium Spender",102.00
13092,2,38.10,"Low Spender",19.05
13093,30,4565.11,"High Spender",152.17
13097,12,405.53,"Medium Spender",33.79
13101,2,35.65,"Low Spender",17.83
13102,8,313.88,"Medium Spender",39.24
13106,1,308.96,"Medium Spender",308.96
13107,3,285.36,"Medium Spender",95.12
13108,1,102.00,"Medium Spender",102.00
13109,1,15.00,"Low Spender",15.00
13110,3,54.15,"Low Spender",18.05
13113,6,346.29,"Medium Spender",57.72
13115,6,333.53,"Medium Spender",55.59
13117,8,150.04,"Medium Spender",18.76
13118,3,93.25,"Low Spender",31.08
13123,2,18.95,"Low Spender",9.48
13124,1,67.70,"Low Spender",67.70
13125,1,2.90,"Low Spender",2.90
13126,4,142.66,"Medium Spender",35.67
13129,1,37.80,"Low Spender",37.80
13131,3,280.83,"Medium Spender",93.61
13133,1,25.50,"Low Spender",25.50
13134,1,20.40,"Low Spender",20.40
13135,1,33.95,"Low Spender",33.95
13136,7,270.38,"Medium Spender",38.63
13137,8,290.26,"Medium Spender",36.28
13138,1,34.20,"Low Spender",34.20
13139,1,311.58,"Medium Spender",311.58
13140,3,61.30,"Low Spender",20.43
13141,9,423.19,"Medium Spender",47.02
13143,1,70.95,"Low Spender",70.95
13148,8,344.05,"Medium Spender",43.01
13151,1,54.01,"Low Spender",54.01
13152,5,130.78,"Medium Spender",26.16
13154,3,183.58,"Medium Spender",61.19
13155,2,45.50,"Low Spender",22.75
13156,3,138.00,"Medium Spender",46.00
13157,4,168.95,"Medium Spender",42.24
13158,1,49.68,"Low Spender",49.68
13161,1,35.40,"Low Spender",35.40
13162,7,632.32,"High Spender",90.33
13164,1,20.85,"Low Spender",20.85
13166,1,8.25,"Low Spender",8.25
13167,1,75.30,"Low Spender",75.30
13168,1,107.80,"Medium Spender",107.80
13173,7,135.53,"Medium Spender",19.36
13174,8,617.85,"High Spender",77.23
13175,2,30.90,"Low Spender",15.45
13177,1,34.00,"Low Spender",34.00
13178,9,550.60,"High Spender",61.18
13179,1,7.80,"Low Spender",7.80
13183,4,267.18,"Medium Spender",66.80
13187,1,3.48,"Low Spender",3.48
13190,1,15.00,"Low Spender",15.00
13191,1,13.13,"Low Spender",13.13
13192,3,102.90,"Medium Spender",34.30
13196,3,157.14,"Medium Spender",52.38
13197,1,79.90,"Low Spender",79.90
13198,2,25.08,"Low Spender",12.54
13199,3,267.76,"Medium Spender",89.25
13201,3,114.90,"Medium Spender",38.30
13202,5,115.40,"Medium Spender",23.08
13203,3,67.56,"Low Spender",22.52
13204,1,89.20,"Low Spender",89.20
13206,10,691.89,"High Spender",69.19
13208,2,35.40,"Low Spender",17.70
13209,2,185.80,"Medium Spender",92.90
13211,4,27.15,"Low Spender",6.79
13213,5,118.50,"Medium Spender",23.70
13214,3,223.68,"Medium Spender",74.56
13220,1,16.50,"Low Spender",16.50
13225,6,904.97,"High Spender",150.83
13226,1,15.00,"Low Spender",15.00
13230,15,194.76,"Medium Spender",12.98
13233,2,90.96,"Low Spender",45.48
13234,2,25.04,"Low Spender",12.52
13237,1,15.00,"Low Spender",15.00
13238,1,39.00,"Low Spender",39.00
13239,1,4.56,"Low Spender",4.56
13240,5,97.73,"Low Spender",19.55
13241,1,11.30,"Low Spender",11.30
13242,3,58.50,"Low Spender",19.50
13243,3,6.70,"Low Spender",2.23
13245,1,40.52,"Low Spender",40.52
13246,5,109.51,"Medium Spender",21.90
13250,1,11.40,"Low Spender",11.40
13251,1,28.48,"Low Spender",28.48
13252,1,24.30,"Low Spender",24.30
13253,1,112.80,"Medium Spender",112.80
13255,1,25.50,"Low Spender",25.50
13259,6,102.61,"Medium Spender",17.10
13262,2,49.90,"Low Spender",24.95
13263,4,61.40,"Low Spender",15.35
13264,1,27.54,"Low Spender",27.54
13266,3,88.30,"Low Spender",29.43
13267,8,297.83,"Medium Spender",37.23
13269,9,466.34,"Medium Spender",51.82
13274,1,22.95,"Low Spender",22.95
13275,2,18.20,"Low Spender",9.10
13276,3,106.74,"Medium Spender",35.58
13277,2,34.65,"Low Spender",17.33
13278,2,19.86,"Low Spender",9.93
13280,3,147.71,"Medium Spender",49.24
13281,1,78.15,"Low Spender",78.15
13282,1,28.80,"Low Spender",28.80
13283,1,17.70,"Low Spender",17.70
13285,1,8.50,"Low Spender",8.50
13286,1,78.70,"Low Spender",78.70
13287,3,89.40,"Low Spender",29.80
13288,2,113.82,"Medium Spender",56.91
13289,1,34.80,"Low Spender",34.80
13291,8,223.13,"Medium Spender",27.89
13292,3,85.20,"Low Spender",28.40
13293,2,44.68,"Low Spender",22.34
13295,2,58.64,"Low Spender",29.32
13296,2,45.00,"Low Spender",22.50
13297,2,84.32,"Low Spender",42.16
13299,2,167.55,"Medium Spender",83.78
13303,1,9.95,"Low Spender",9.95
13304,3,61.30,"Low Spender",20.43
13305,6,204.60,"Medium Spender",34.10
13306,1,23.40,"Low Spender",23.40
13307,1,30.00,"Low Spender",30.00
13308,1,15.00,"Low Spender",15.00
13309,1,10.20,"Low Spender",10.20
13310,1,61.35,"Low Spender",61.35
13312,1,35.85,"Low Spender",35.85
13313,5,63.60,"Low Spender",12.72
13316,4,316.75,"Medium Spender",79.19
13317,9,258.32,"Medium Spender",28.70
13319,20,801.34,"High Spender",40.07
13320,1,40.20,"Low Spender",40.20
13324,2,247.65,"Medium Spender",123.83
13326,1,37.50,"Low Spender",37.50
13327,9,357.30,"Medium Spender",39.70
13329,6,473.30,"Medium Spender",78.88
13330,3,102.54,"Medium Spender",34.18
13333,1,15.00,"Low Spender",15.00
13334,2,188.33,"Medium Spender",94.17
13337,1,78.45,"Low Spender",78.45
13338,3,131.25,"Medium Spender",43.75
13340,3,1530.10,"High Spender",510.03
13357,3,180.45,"Medium Spender",60.15
13359,1,16.50,"Low Spender",16.50
13360,2,59.85,"Low Spender",29.93
13361,2,110.30,"Medium Spender",55.15
13362,2,77.00,"Low Spender",38.50
13363,1,53.40,"Low Spender",53.40
13367,1,15.00,"Low Spender",15.00
13368,1,44.80,"Low Spender",44.80
13370,1,49.70,"Low Spender",49.70
13371,2,224.98,"Medium Spender",112.49
13373,3,413.59,"Medium Spender",137.86
13375,1,66.70,"Low Spender",66.70
13377,2,165.07,"Medium Spender",82.54
13381,5,496.68,"Medium Spender",99.34
13382,3,138.84,"Medium Spender",46.28
13384,3,185.76,"Medium Spender",61.92
13386,2,35.40,"Low Spender",17.70
13387,1,12.43,"Low Spender",12.43
13388,1,29.22,"Low Spender",29.22
13392,1,5.04,"Low Spender",5.04
13393,3,60.14,"Low Spender",20.05
13394,9,314.02,"Medium Spender",34.89
13395,2,49.62,"Low Spender",24.81
13399,1,19.50,"Low Spender",19.50
13400,1,42.60,"Low Spender",42.60
13406,1,45.00,"Low Spender",45.00
13407,2,147.06,"Medium Spender",73.53
13408,20,1708.28,"High Spender",85.41
13410,2,186.60,"Medium Spender",93.30
13412,1,3.30,"Low Spender",3.30
13413,1,0.85,"Low Spender",0.85
13414,1,10.20,"Low Spender",10.20
13415,3,104.49,"Medium Spender",34.83
13417,3,67.10,"Low Spender",22.37
13418,13,565.83,"High Spender",43.53
13421,4,168.05,"Medium Spender",42.01
13425,2,81.30,"Low Spender",40.65
13426,9,420.60,"Medium Spender",46.73
13427,1,37.08,"Low Spender",37.08
13428,1,25.00,"Low Spender",25.00
13431,4,137.90,"Medium Spender",34.48
13432,2,39.55,"Low Spender",19.78
13434,1,25.20,"Low Spender",25.20
13435,2,27.05,"Low Spender",13.53
13438,1,46.50,"Low Spender",46.50
13439,2,77.88,"Low Spender",38.94
13440,1,134.00,"Medium Spender",134.00
13443,4,144.43,"Medium Spender",36.11
13444,1,8.50,"Low Spender",8.50
13445,1,46.50,"Low Spender",46.50
13446,6,323.01,"Medium Spender",53.84
13448,8,828.02,"High Spender",103.50
13450,2,70.56,"Low Spender",35.28
13451,6,215.28,"Medium Spender",35.88
13453,1,9.90,"Low Spender",9.90
13455,4,128.88,"Medium Spender",32.22
13457,1,6.60,"Low Spender",6.60
13458,2,108.06,"Medium Spender",54.03
13459,2,62.20,"Low Spender",31.10
13461,3,474.30,"Medium Spender",158.10
13462,1,78.90,"Low Spender",78.90
13464,3,131.40,"Medium Spender",43.80
13465,1,15.00,"Low Spender",15.00
13466,1,10.20,"Low Spender",10.20
13468,21,650.31,"High Spender",30.97
13473,3,143.26,"Medium Spender",47.75
13474,1,5.90,"Low Spender",5.90
13476,1,6.80,"Low Spender",6.80
13477,4,178.58,"Medium Spender",44.65
13478,2,80.15,"Low Spender",40.08
13479,1,20.28,"Low Spender",20.28
13480,2,45.30,"Low Spender",22.65
13481,5,201.60,"Medium Spender",40.32
13484,1,14.85,"Low Spender",14.85
13485,5,145.75,"Medium Spender",29.15
13488,9,589.14,"High Spender",65.46
13490,1,19.90,"Low Spender",19.90
13491,11,243.93,"Medium Spender",22.18
13495,4,268.78,"Medium Spender",67.20
13497,2,23.80,"Low Spender",11.90
13498,1,49.20,"Low Spender",49.20
13500,1,53.00,"Low Spender",53.00
13501,2,131.90,"Medium Spender",65.95
13502,1,53.10,"Low Spender",53.10
13503,2,49.05,"Low Spender",24.53
13506,3,77.70,"Low Spender",25.90
13509,1,20.00,"Low Spender",20.00
13510,5,197.53,"Medium Spender",39.51
13512,1,17.40,"Low Spender",17.40
13513,1,30.00,"Low Spender",30.00
13514,2,87.50,"Low Spender",43.75
13515,1,35.40,"Low Spender",35.40
13516,1,52.45,"Low Spender",52.45
13520,4,91.35,"Low Spender",22.84
13523,2,99.95,"Low Spender",49.98
13526,1,3.75,"Low Spender",3.75
13527,4,149.50,"Medium Spender",37.38
13530,1,20.40,"Low Spender",20.40
13531,4,148.63,"Medium Spender",37.16
13534,3,73.50,"Low Spender",24.50
13537,2,90.80,"Low Spender",45.40
13538,2,89.10,"Low Spender",44.55
13539,2,60.54,"Low Spender",30.27
13540,2,51.85,"Low Spender",25.93
13542,14,312.50,"Medium Spender",22.32
13543,2,75.45,"Low Spender",37.73
13544,3,47.25,"Low Spender",15.75
13545,2,19.83,"Low Spender",9.92
13546,1,56.96,"Low Spender",56.96
13547,1,11.34,"Low Spender",11.34
13548,1,8.40,"Low Spender",8.40
13549,1,21.60,"Low Spender",21.60
13550,1,25.65,"Low Spender",25.65
13552,5,492.20,"Medium Spender",98.44
13553,1,22.70,"Low Spender",22.70
13554,5,143.45,"Medium Spender",28.69
13555,8,290.70,"Medium Spender",36.34
13556,1,13.92,"Low Spender",13.92
13557,7,152.52,"Medium Spender",21.79
13561,5,82.78,"Low Spender",16.56
13562,3,142.20,"Medium Spender",47.40
13564,26,1336.27,"High Spender",51.40
13566,3,57.79,"Low Spender",19.26
13567,3,91.00,"Low Spender",30.33
