CustomerID,total_spending,customer_segment
14739,370.00,"Medium Spender"
13958,367.71,"Medium Spender"
18260,367.26,"Medium Spender"
14505,365.84,"Medium Spender"
14461,364.96,"Medium Spender"
17338,363.98,"Medium Spender"
14442,361.85,"Medium Spender"
17091,361.48,"Medium Spender"
12511,359.09,"Medium Spender"
12474,357.60,"Medium Spender"
13327,357.30,"Medium Spender"
14709,356.40,"Medium Spender"
13615,356.00,"Medium Spender"
16242,355.94,"Medium Spender"
17512,355.32,"Medium Spender"
14081,355.24,"Medium Spender"
16210,352.52,"Medium Spender"
14243,349.59,"Medium Spender"
13786,348.20,"Medium Spender"
15547,347.48,"Medium Spender"
13590,346.96,"Medium Spender"
13113,346.29,"Medium Spender"
14702,346.05,"Medium Spender"
13634,346.03,"Medium Spender"
14194,345.85,"Medium Spender"
15079,345.55,"Medium Spender"
12705,345.23,"Medium Spender"
13799,344.40,"Medium Spender"
17340,344.19,"Medium Spender"
13148,344.05,"Medium Spender"
18225,342.46,"Medium Spender"
16456,337.33,"Medium Spender"
12843,336.79,"Medium Spender"
13870,335.94,"Medium Spender"
15255,334.08,"Medium Spender"
15150,334.07,"Medium Spender"
13115,333.53,"Medium Spender"
17611,328.22,"Medium Spender"
17799,327.21,"Medium Spender"
18094,326.70,"Medium Spender"
12469,326.16,"Medium Spender"
14291,325.98,"Medium Spender"
17965,325.13,"Medium Spender"
17419,324.17,"Medium Spender"
13446,323.01,"Medium Spender"
15898,322.04,"Medium Spender"
14045,321.12,"Medium Spender"
15485,320.50,"Medium Spender"
15981,320.46,"Medium Spender"
13848,320.00,"Medium Spender"
15955,319.90,"Medium Spender"
17829,318.88,"Medium Spender"
16103,318.08,"Medium Spender"
13316,316.75,"Medium Spender"
13969,315.15,"Medium Spender"
16722,314.87,"Medium Spender"
13993,314.85,"Medium Spender"
13394,314.02,"Medium Spender"
13102,313.88,"Medium Spender"
15841,313.71,"Medium Spender"
14344,313.20,"Medium Spender"
15876,313.20,"Medium Spender"
13542,312.50,"Medium Spender"
13139,311.58,"Medium Spender"
16303,310.44,"Medium Spender"
14001,310.10,"Medium Spender"
15623,310.05,"Medium Spender"
16126,310.05,"Medium Spender"
13106,308.96,"Medium Spender"
14944,308.54,"Medium Spender"
18041,308.48,"Medium Spender"
17685,307.50,"Medium Spender"
14913,306.75,"Medium Spender"
15321,306.20,"Medium Spender"
14025,305.00,"Medium Spender"
16563,303.36,"Medium Spender"
16558,303.29,"Medium Spender"
16858,302.64,"Medium Spender"
16700,301.91,"Medium Spender"
15394,301.80,"Medium Spender"
15680,301.76,"Medium Spender"
17504,301.60,"Medium Spender"
16556,301.27,"Medium Spender"
13090,300.81,"Medium Spender"
14828,300.66,"Medium Spender"
14415,300.62,"Medium Spender"
14030,300.00,"Medium Spender"
16736,299.27,"Medium Spender"
15502,298.63,"Medium Spender"
16546,298.50,"Medium Spender"
14530,298.31,"Medium Spender"
13267,297.83,"Medium Spender"
17769,297.53,"Medium Spender"
14936,297.30,"Medium Spender"
16875,297.21,"Medium Spender"
12567,296.85,"Medium Spender"
18223,296.77,"Medium Spender"
14933,295.00,"Medium Spender"
17092,294.52,"Medium Spender"
17388,294.00,"Medium Spender"
14918,292.00,"Medium Spender"
16168,291.75,"Medium Spender"
14800,291.10,"Medium Spender"
17145,290.89,"Medium Spender"
13555,290.70,"Medium Spender"
13137,290.26,"Medium Spender"
15421,289.97,"Medium Spender"
14146,287.38,"Medium Spender"
16400,286.86,"Medium Spender"
16497,285.87,"Medium Spender"
14101,285.64,"Medium Spender"
14286,285.54,"Medium Spender"
13107,285.36,"Medium Spender"
14092,285.13,"Medium Spender"
17735,285.06,"Medium Spender"
16008,284.80,"Medium Spender"
14769,283.87,"Medium Spender"
12490,282.26,"Medium Spender"
13999,282.05,"Medium Spender"
12957,281.32,"Medium Spender"
13048,281.29,"Medium Spender"
13131,280.83,"Medium Spender"
17625,280.63,"Medium Spender"
14113,279.82,"Medium Spender"
13931,279.55,"Medium Spender"
14866,279.00,"Medium Spender"
12839,278.78,"Medium Spender"
14465,278.70,"Medium Spender"
15546,277.95,"Medium Spender"
16444,277.84,"Medium Spender"
13771,277.61,"Medium Spender"
15786,277.36,"Medium Spender"
12759,276.56,"Medium Spender"
15298,276.44,"Medium Spender"
17238,276.35,"Medium Spender"
16258,276.25,"Medium Spender"
14713,276.05,"Medium Spender"
13044,275.70,"Medium Spender"
12747,275.60,"Medium Spender"
17315,275.24,"Medium Spender"
15939,274.79,"Medium Spender"
14249,273.37,"Medium Spender"
12838,273.14,"Medium Spender"
12435,273.00,"Medium Spender"
18178,272.73,"Medium Spender"
15034,272.65,"Medium Spender"
13983,272.59,"Medium Spender"
13136,270.38,"Medium Spender"
17757,268.83,"Medium Spender"
13495,268.78,"Medium Spender"
13199,267.76,"Medium Spender"
17191,267.65,"Medium Spender"
12349,267.50,"Medium Spender"
13183,267.18,"Medium Spender"
13571,266.73,"Medium Spender"
14878,266.45,"Medium Spender"
15581,266.32,"Medium Spender"
17774,265.89,"Medium Spender"
12451,265.88,"Medium Spender"
18065,265.38,"Medium Spender"
14233,265.20,"Medium Spender"
15722,265.15,"Medium Spender"
14609,264.00,"Medium Spender"
14175,263.63,"Medium Spender"
14282,263.55,"Medium Spender"
13707,263.40,"Medium Spender"
15727,263.23,"Medium Spender"
17365,261.17,"Medium Spender"
15950,260.75,"Medium Spender"
16320,260.52,"Medium Spender"
14312,260.52,"Medium Spender"
15002,260.51,"Medium Spender"
14885,260.40,"Medium Spender"
17550,259.50,"Medium Spender"
12615,259.42,"Medium Spender"
14907,259.26,"Medium Spender"
14105,259.22,"Medium Spender"
13883,258.78,"Medium Spender"
17113,258.40,"Medium Spender"
13317,258.32,"Medium Spender"
16670,257.83,"Medium Spender"
16735,257.80,"Medium Spender"
16353,257.40,"Medium Spender"
16993,257.10,"Medium Spender"
14210,256.98,"Medium Spender"
15984,256.27,"Medium Spender"
15823,254.47,"Medium Spender"
14329,253.87,"Medium Spender"
17663,253.80,"Medium Spender"
15125,253.10,"Medium Spender"
17646,253.05,"Medium Spender"
13052,252.11,"Medium Spender"
16718,250.80,"Medium Spender"
17905,249.94,"Medium Spender"
15023,249.02,"Medium Spender"
17426,248.92,"Medium Spender"
12623,248.85,"Medium Spender"
12712,248.09,"Medium Spender"
18229,247.80,"Medium Spender"
14535,247.68,"Medium Spender"
13324,247.65,"Medium Spender"
17311,247.05,"Medium Spender"
15067,246.90,"Medium Spender"
14564,246.90,"Medium Spender"
17063,245.70,"Medium Spender"
12725,245.60,"Medium Spender"
13491,243.93,"Medium Spender"
16584,242.46,"Medium Spender"
14744,242.30,"Medium Spender"
14032,241.47,"Medium Spender"
16943,241.38,"Medium Spender"
14796,240.97,"Medium Spender"
12417,240.85,"Medium Spender"
16072,240.61,"Medium Spender"
15614,240.10,"Medium Spender"
15144,240.10,"Medium Spender"
12629,240.00,"Medium Spender"
13760,239.90,"Medium Spender"
16710,239.49,"Medium Spender"
13031,239.03,"Medium Spender"
17382,238.68,"Medium Spender"
15734,238.50,"Medium Spender"
17990,238.05,"Medium Spender"
12613,237.60,"Medium Spender"
17231,237.45,"Medium Spender"
14493,236.85,"Medium Spender"
15755,236.48,"Medium Spender"
14099,236.21,"Medium Spender"
14625,236.10,"Medium Spender"
14401,235.60,"Medium Spender"
15983,235.23,"Medium Spender"
18154,234.96,"Medium Spender"
12468,234.95,"Medium Spender"
17802,234.15,"Medium Spender"
13658,233.71,"Medium Spender"
18051,233.28,"Medium Spender"
13970,232.00,"Medium Spender"
14211,231.85,"Medium Spender"
14004,231.80,"Medium Spender"
16732,231.21,"Medium Spender"
16325,230.85,"Medium Spender"
14676,230.52,"Medium Spender"
18245,230.45,"Medium Spender"
17686,229.95,"Medium Spender"
16011,229.85,"Medium Spender"
14227,229.45,"Medium Spender"
16620,229.38,"Medium Spender"
12749,229.05,"Medium Spender"
14841,228.86,"Medium Spender"
16430,228.80,"Medium Spender"
15681,228.36,"Medium Spender"
17861,228.26,"Medium Spender"
17469,227.95,"Medium Spender"
14590,227.10,"Medium Spender"
18168,226.59,"Medium Spender"
15410,226.38,"Medium Spender"
16087,226.36,"Medium Spender"
14469,226.33,"Medium Spender"
17346,226.19,"Medium Spender"
14970,225.45,"Medium Spender"
13371,224.98,"Medium Spender"
17270,224.85,"Medium Spender"
17019,224.38,"Medium Spender"
15221,224.25,"Medium Spender"
13214,223.68,"Medium Spender"
18215,223.50,"Medium Spender"
17732,223.32,"Medium Spender"
13291,223.13,"Medium Spender"
15050,222.98,"Medium Spender"
12431,222.33,"Medium Spender"
12913,221.70,"Medium Spender"
15785,221.33,"Medium Spender"
16592,221.08,"Medium Spender"
14626,220.63,"Medium Spender"
14593,220.60,"Medium Spender"
14399,220.49,"Medium Spender"
15046,220.19,"Medium Spender"
15967,220.15,"Medium Spender"
16915,219.75,"Medium Spender"
12976,219.24,"Medium Spender"
15736,219.15,"Medium Spender"
17157,218.60,"Medium Spender"
16180,218.33,"Medium Spender"
13756,218.27,"Medium Spender"
14688,217.75,"Medium Spender"
14817,217.65,"Medium Spender"
14548,217.38,"Medium Spender"
12854,217.15,"Medium Spender"
16145,217.02,"Medium Spender"
16053,216.78,"Medium Spender"
16607,216.67,"Medium Spender"
17204,216.20,"Medium Spender"
14482,215.92,"Medium Spender"
16293,215.40,"Medium Spender"
18064,215.40,"Medium Spender"
17287,215.33,"Medium Spender"
14915,215.30,"Medium Spender"
13451,215.28,"Medium Spender"
15527,215.20,"Medium Spender"
15641,215.05,"Medium Spender"
14546,214.80,"Medium Spender"
12720,214.06,"Medium Spender"
14014,213.30,"Medium Spender"
16588,213.25,"Medium Spender"
16065,212.80,"Medium Spender"
17409,212.46,"Medium Spender"
16554,212.35,"Medium Spender"
12391,212.32,"Medium Spender"
13975,212.12,"Medium Spender"
15571,211.77,"Medium Spender"
15310,211.68,"Medium Spender"
18075,211.65,"Medium Spender"
16571,210.60,"Medium Spender"
16156,210.42,"Medium Spender"
14766,210.07,"Medium Spender"
17138,210.03,"Medium Spender"
17618,209.75,"Medium Spender"
16720,209.35,"Medium Spender"
17004,209.23,"Medium Spender"
13021,209.15,"Medium Spender"
14532,209.08,"Medium Spender"
12877,208.98,"Medium Spender"
14293,208.62,"Medium Spender"
14035,208.11,"Medium Spender"
14897,207.50,"Medium Spender"
16283,207.33,"Medium Spender"
15638,207.00,"Medium Spender"
15365,206.90,"Medium Spender"
17293,206.57,"Medium Spender"
13693,206.45,"Medium Spender"
12935,206.25,"Medium Spender"
17602,206.23,"Medium Spender"
16933,206.17,"Medium Spender"
17069,206.10,"Medium Spender"
14649,204.90,"Medium Spender"
13305,204.60,"Medium Spender"
15248,204.58,"Medium Spender"
12975,204.31,"Medium Spender"
17941,204.00,"Medium Spender"
15588,204.00,"Medium Spender"
15602,203.96,"Medium Spender"
17526,203.20,"Medium Spender"
15798,202.76,"Medium Spender"
12687,202.60,"Medium Spender"
15633,202.59,"Medium Spender"
14748,202.13,"Medium Spender"
15215,201.95,"Medium Spender"
13481,201.60,"Medium Spender"
12644,201.45,"Medium Spender"
16383,201.38,"Medium Spender"
16067,201.36,"Medium Spender"
17096,200.60,"Medium Spender"
17913,200.40,"Medium Spender"
12516,200.10,"Medium Spender"
15228,199.95,"Medium Spender"
17449,199.71,"Medium Spender"
14047,199.53,"Medium Spender"
17107,199.15,"Medium Spender"
14643,198.84,"Medium Spender"
12662,198.30,"Medium Spender"
16004,198.10,"Medium Spender"
12708,198.00,"Medium Spender"
13510,197.53,"Medium Spender"
14209,197.30,"Medium Spender"
18145,197.30,"Medium Spender"
14930,196.91,"Medium Spender"
12836,196.65,"Medium Spender"
16611,196.60,"Medium Spender"
12424,196.48,"Medium Spender"
12841,195.94,"Medium Spender"
12782,195.55,"Medium Spender"
17596,195.43,"Medium Spender"
15482,195.42,"Medium Spender"
17400,194.92,"Medium Spender"
13230,194.76,"Medium Spender"
12369,194.46,"Medium Spender"
14466,194.40,"Medium Spender"
15123,193.50,"Medium Spender"
13916,193.45,"Medium Spender"
16401,193.31,"Medium Spender"
14459,193.20,"Medium Spender"
17001,193.08,"Medium Spender"
15978,192.36,"Medium Spender"
14555,192.15,"Medium Spender"
14379,192.01,"Medium Spender"
16499,191.91,"Medium Spender"
15480,191.58,"Medium Spender"
16772,191.55,"Medium Spender"
13577,191.48,"Medium Spender"
12872,191.30,"Medium Spender"
14107,191.16,"Medium Spender"
16471,190.98,"Medium Spender"
16197,190.50,"Medium Spender"
14136,190.47,"Medium Spender"
16467,189.00,"Medium Spender"
13736,188.65,"Medium Spender"
13963,188.44,"Medium Spender"
12766,188.34,"Medium Spender"
13334,188.33,"Medium Spender"
17612,187.93,"Medium Spender"
17644,187.78,"Medium Spender"
15673,187.65,"Medium Spender"
14882,187.15,"Medium Spender"
14449,186.97,"Medium Spender"
13663,186.80,"Medium Spender"
14334,186.73,"Medium Spender"
18097,186.60,"Medium Spender"
13410,186.60,"Medium Spender"
17018,186.50,"Medium Spender"
12744,186.35,"Medium Spender"
14044,186.13,"Medium Spender"
16919,185.98,"Medium Spender"
13209,185.80,"Medium Spender"
13384,185.76,"Medium Spender"
17496,185.70,"Medium Spender"
16225,185.20,"Medium Spender"
13023,184.80,"Medium Spender"
15129,184.25,"Medium Spender"
17519,183.60,"Medium Spender"
13154,183.58,"Medium Spender"
13643,183.35,"Medium Spender"
12586,183.35,"Medium Spender"
14057,183.22,"Medium Spender"
12631,183.10,"Medium Spender"
16335,183.09,"Medium Spender"
17730,183.00,"Medium Spender"
14514,182.90,"Medium Spender"
14496,182.90,"Medium Spender"
18170,182.57,"Medium Spender"
14112,182.47,"Medium Spender"
13769,181.60,"Medium Spender"
15367,181.55,"Medium Spender"
14540,181.33,"Medium Spender"
16992,181.30,"Medium Spender"
18258,181.11,"Medium Spender"
16795,180.90,"Medium Spender"
16983,180.74,"Medium Spender"
16940,180.50,"Medium Spender"
16105,180.50,"Medium Spender"
13357,180.45,"Medium Spender"
16279,180.15,"Medium Spender"
15227,179.78,"Medium Spender"
17700,179.12,"Medium Spender"
15817,179.07,"Medium Spender"
15024,178.75,"Medium Spender"
13477,178.58,"Medium Spender"
16560,178.09,"Medium Spender"
13823,177.98,"Medium Spender"
16341,177.94,"Medium Spender"
16719,177.57,"Medium Spender"
14837,177.40,"Medium Spender"
17884,177.03,"Medium Spender"
17059,176.97,"Medium Spender"
16147,176.70,"Medium Spender"
16954,176.70,"Medium Spender"
15812,176.50,"Medium Spender"
14770,176.49,"Medium Spender"
17147,176.34,"Medium Spender"
16455,176.30,"Medium Spender"
16854,176.26,"Medium Spender"
15596,175.85,"Medium Spender"
14215,175.82,"Medium Spender"
13652,175.73,"Medium Spender"
13875,175.60,"Medium Spender"
16024,175.45,"Medium Spender"
15032,174.95,"Medium Spender"
16255,174.65,"Medium Spender"
16655,174.64,"Medium Spender"
14695,174.38,"Medium Spender"
17758,174.37,"Medium Spender"
18109,174.33,"Medium Spender"
14572,174.16,"Medium Spender"
12649,174.00,"Medium Spender"
15538,174.00,"Medium Spender"
16153,173.55,"Medium Spender"
16256,173.28,"Medium Spender"
16104,173.05,"Medium Spender"
17508,172.83,"Medium Spender"
12726,172.20,"Medium Spender"
17127,172.05,"Medium Spender"
14852,171.11,"Medium Spender"
15422,170.97,"Medium Spender"
16150,170.90,"Medium Spender"
16767,170.75,"Medium Spender"
16894,170.33,"Medium Spender"
16316,170.32,"Medium Spender"
15271,170.27,"Medium Spender"
15712,170.25,"Medium Spender"
13157,168.95,"Medium Spender"
16118,168.92,"Medium Spender"
17242,168.90,"Medium Spender"
15628,168.88,"Medium Spender"
17211,168.60,"Medium Spender"
17082,168.30,"Medium Spender"
15916,168.14,"Medium Spender"
14390,168.10,"Medium Spender"
13018,168.07,"Medium Spender"
13421,168.05,"Medium Spender"
13299,167.55,"Medium Spender"
14745,167.25,"Medium Spender"
15665,166.88,"Medium Spender"
15030,166.85,"Medium Spender"
12761,166.80,"Medium Spender"
17666,166.80,"Medium Spender"
14205,166.65,"Medium Spender"
13842,166.30,"Medium Spender"
14292,166.20,"Medium Spender"
12982,166.15,"Medium Spender"
16686,165.72,"Medium Spender"
17878,165.70,"Medium Spender"
12932,165.62,"Medium Spender"
14692,165.25,"Medium Spender"
13377,165.07,"Medium Spender"
17031,165.00,"Medium Spender"
12483,164.90,"Medium Spender"
17276,164.44,"Medium Spender"
17968,164.15,"Medium Spender"
16608,163.80,"Medium Spender"
15716,163.72,"Medium Spender"
15015,163.65,"Medium Spender"
12609,163.45,"Medium Spender"
15122,163.43,"Medium Spender"
17028,163.40,"Medium Spender"
14653,163.40,"Medium Spender"
16347,163.28,"Medium Spender"
14195,163.20,"Medium Spender"
13888,163.10,"Medium Spender"
14669,162.89,"Medium Spender"
13647,162.60,"Medium Spender"
15754,162.48,"Medium Spender"
14451,162.40,"Medium Spender"
14732,162.34,"Medium Spender"
16812,162.15,"Medium Spender"
12813,162.00,"Medium Spender"
13015,161.93,"Medium Spender"
17465,161.87,"Medium Spender"
12910,161.46,"Medium Spender"
14295,161.23,"Medium Spender"
16717,161.10,"Medium Spender"
13995,161.07,"Medium Spender"
12809,161.05,"Medium Spender"
16409,160.78,"Medium Spender"
12510,160.76,"Medium Spender"
14332,160.70,"Medium Spender"
17372,160.69,"Medium Spender"
16470,160.10,"Medium Spender"
13815,160.07,"Medium Spender"
17203,159.95,"Medium Spender"
15400,159.90,"Medium Spender"
15858,159.79,"Medium Spender"
17822,159.54,"Medium Spender"
16167,159.46,"Medium Spender"
16296,159.30,"Medium Spender"
12589,158.80,"Medium Spender"
12847,158.30,"Medium Spender"
13982,158.19,"Medium Spender"
15384,158.10,"Medium Spender"
18079,158.08,"Medium Spender"
15312,157.88,"Medium Spender"
12359,157.85,"Medium Spender"
12368,157.70,"Medium Spender"
14634,157.67,"Medium Spender"
15095,157.65,"Medium Spender"
16202,157.64,"Medium Spender"
13854,157.56,"Medium Spender"
17396,157.50,"Medium Spender"
16331,157.40,"Medium Spender"
12656,157.35,"Medium Spender"
13196,157.14,"Medium Spender"
17180,156.94,"Medium Spender"
15803,156.72,"Medium Spender"
17222,156.59,"Medium Spender"
16823,156.38,"Medium Spender"
14410,156.15,"Medium Spender"
16033,156.02,"Medium Spender"
16797,155.44,"Medium Spender"
17679,155.10,"Medium Spender"
15279,155.10,"Medium Spender"
16791,155.06,"Medium Spender"
12600,154.80,"Medium Spender"
12926,154.68,"Medium Spender"
16266,154.55,"Medium Spender"
